Code,License Type,Indicator Name,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Notes from original source,License URL
SE.PRM.TENR,CC BY-4.0,"Adjusted net enrollment rate, primary (% of primary school age children)","Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,Annual,Weighted average,"Adjusted net enrollment rate in primary education is calculated by dividing the number of children in the official primary school age who are enrolled in primary or secondary education by the population of the same age group and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",Relevance to gender indicator: Women teachers are important as they serve as role models to girls and help to attract and retain girls in school.,"Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.TENR.FE,CC BY-4.0,"Adjusted net enrollment rate, primary, female (% of primary school age children)","Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,Annual,Weighted average,"Adjusted net enrollment rate in primary education is calculated by dividing the number of children in the official primary school age who are enrolled in primary or secondary education by the population of the same age group and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",Relevance to gender indicator: Women teachers are important as they serve as role models to girls and help to attract and retain girls in school.,"Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.TENR.MA,CC BY-4.0,"Adjusted net enrollment rate, primary, male (% of primary school age children)","Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,Annual,Weighted average,"Adjusted net enrollment rate in primary education is calculated by dividing the number of children in the official primary school age who are enrolled in primary or secondary education by the population of the same age group and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments. The adjusted net enrollment rate in primary education captures primary school-age children who have progressed to secondary education faster than their peers have and who are not counted in the traditional net enrollment rate.","Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.UNER.ZS,CC BY-4.0,Children out of school (% of primary school age),Children out of school are the percentage of primary-school-age children who are not enrolled in primary or secondary school. Children in the official primary age group that are in preprimary education should be considered out of school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,Weighted average,"The rate of out-of-school children allows to compare across countries with different population sizes. It shows the share of official primary-school-age children who never attended school or dropped out to the population of official primary school age.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses. The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,"The administrative data used in the calculation of the rate of out-of-school children are based on enrolment at a specific date which can bias the results by either counting enrolled children who never attend school or by omitting those who enroll after the reference date for reporting enrolment data. Furthermore, children who drop out of school after the reference date are not counted as out of school. Discrepancies between enrolment and population data from different sources can also result in over- or underestimates of the rate. Lastly, the international comparability of this indicator can be affected by the use of different concepts of enrolment and out-of-school children across countries.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.UNER,CC BY-4.0,"Children out of school, primary",Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,Sum,"The number of out-of-school children is calculated by subtracting the number of primary school-age children enrolled in primary or secondary school from the total population of the official primary school-age children. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Large numbers of children out of school create pressure to enroll children and provide classrooms, teachers, and educational materials, a task made difficult in many countries by limited education budgets. However, getting children into school is a high priority for countries and crucial for achieving universal primary education.","Due to different data sources for enrollment and population data, the number may not capture the actual number of children not attending in primary school.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.UNER.FE,CC BY-4.0,"Children out of school, primary, female",Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,Sum,"The number of out-of-school children is calculated by subtracting the number of primary school-age children enrolled in primary or secondary school from the total population of the official primary school-age children. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Large numbers of children out of school create pressure to enroll children and provide classrooms, teachers, and educational materials, a task made difficult in many countries by limited education budgets. However, getting children into school is a high priority for countries and crucial for achieving universal primary education.","Due to different data sources for enrollment and population data, the number may not capture the actual number of children not attending in primary school.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.UNER.MA,CC BY-4.0,"Children out of school, primary, male",Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,Sum,"The number of out-of-school children is calculated by subtracting the number of primary school-age children enrolled in primary or secondary school from the total population of the official primary school-age children. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Large numbers of children out of school create pressure to enroll children and provide classrooms, teachers, and educational materials, a task made difficult in many countries by limited education budgets. However, getting children into school is a high priority for countries and crucial for achieving universal primary education.","Due to different data sources for enrollment and population data, the number may not capture the actual number of children not attending in primary school.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.TER.CUAT.BA.FE.ZS,CC BY-4.0,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,,"It is calculated by dividing the number of population ages 25 and older who attained or completed Bachelor's or equivalent by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.TER.CUAT.BA.MA.ZS,CC BY-4.0,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,,"It is calculated by dividing the number of population ages 25 and older who attained or completed Bachelor's or equivalent by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.TER.CUAT.BA.ZS,CC BY-4.0,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,,"It is calculated by dividing the number of population ages 25 and older who attained or completed Bachelor's or equivalent by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,https://datacatalog.worldbank.org/public-licenses#cc-by
